provider id,name,state,city,address,zip,ownership type - simple,ownership type - detailed,total surveys,date of last certification survey,date calculated,total deficiencies,complaint deficiencies,certification deficiencies,fms deficiencies
120483,GENTIVA HOSPICE - DOTHAN,AL,DOTHAN,2740 HEADLAND AVENUE,36303,For-profit,PROPRIETARY/Corporation,3,2013-04-25,2014-07-02,31,11,20,0
120484,HOSPICE OF MONTGOMERY,AL,MONTGOMERY,1111 HOLLOWAY PARK,36117,Non-profit,NON-PROFIT/Private,2,2013-06-27,2014-07-02,31,6,25,0
120485,CHATTAHOOCHEE HOSPICE INC,AL,VALLEY,6 MEDICAL PARK NORTH,36854,Non-profit,NON-PROFIT/Private,2,2013-10-23,2014-07-02,16,0,16,0
120487,LAKESIDE HOSPICE INC,AL,PELL CITY,4010 MASTERS ROAD,35128,Non-profit,NON-PROFIT/Private,2,2013-01-10,2014-07-02,4,0,4,0
120488,AMEDISYS HOSPICE OF BIRMINGHAM,AL,HOMEWOOD,2204 LAKESHORE DRIVE SUITE 160,35209,For-profit,PROPRIETARY/Corporation,1,2008-03-27,2014-07-02,8,2,6,0
120489,HOSPICE ADVANTAGE BETHANY HOUSE,AL,AUBURN,"665 OPELIKA ROAD, SUITE 200",36830,Government,Government and Non-Profit,1,2012-10-19,2014-07-02,12,2,10,0
120490,"HOSPICE OF THE SHOALS, INC",AL,FLORENCE,115 FAIRGROUND ROAD,35630,Non-profit,NON-PROFIT/Other,1,2008-05-01,2014-07-02,5,0,5,0
120493,HOSPICE OF NORTHWEST ALABAMA,AL,WINFIELD,1315 US HIGHWAY 43     P O BOX 1216,35594,Non-profit,NON-PROFIT/Other,2,2010-09-09,2014-07-02,5,1,4,0
120495,VITAS INNOVATIVE HOSPICE CARE OF BESSEMER,AL,BESSEMER,"1088 NINTH AVENUE SW, SUITE 102",35022,For-profit,PROPRIETARY/Other,1,2009-07-02,2014-07-02,0,0,0,0
120496,ASERACARE HOSPICE-BIRMINGHAM,AL,HOOVER,"450 CENTURY PARK SOUTH, SUITE 112 B",35226,For-profit,PROPRIETARY/Corporation,2,2007-08-16,2014-07-02,50,24,26,0
120497,HOSPICE OF CLAY COUNTY,AL,ASHLAND,83825 HIGHWAY 9  P O BOX 1270,36251,Other,Other,2,2013-11-14,2014-07-02,16,0,16,0
120499,HOSPICE OF FAYETTE MEDICAL CENTER,AL,FAYETTE,411 FAYETTE SQUARE,35555,Government,Government and Non-Profit,1,2007-05-17,2014-07-02,0,0,0,0
120501,CHEROKEE HOSPICE,AL,CENTRE,"704 CHEROKEE PLAZA, SUITE 9",35960,For-profit,PROPRIETARY/Corporation,2,2012-01-06,2014-07-02,23,0,23,0
120502,ALACARE HOME HEALTH & HOSPICE,AL,BIRMINGHAM,2970A LORNA ROAD,35209,For-profit,PROPRIETARY/Corporation,1,2009-07-30,2014-07-02,33,22,11,0
120503,SOUTHERNCARE MOBILE,AL,MOBILE,3100 COTTAGE HILL ROAD SUITE 112,36606,For-profit,PROPRIETARY/Corporation,1,2007-08-02,2014-07-02,27,13,14,0
120504,COMMUNITY HOSPICE OF BALDWIN COUNTY,AL,FOLEY,"2770 SOUTH MCKENZIE, SUITE C",36535,Non-profit,NON-PROFIT/Private,1,2010-03-04,2014-07-02,2,0,2,0
120506,CARING HANDS HOSPICE INC,AL,TUSCALOOSA,225 UNIVERSITY BLVD E SUITE 203,35401,Non-profit,NON-PROFIT/Private,2,2013-08-22,2014-07-02,44,14,30,0
120507,CAHABA HOSPICE INC,AL,SELMA,"410 CHURCH STERET, SUITE B",36701,For-profit,PROPRIETARY/Indvidual,1,2010-04-08,2014-07-02,0,0,0,0
120511,SOUTHERNCARE MONTGOMERY,AL,MONTGOMERY,"7067 SIDNEY CURVE, SUITE B",36117,For-profit,PROPRIETARY/Corporation,1,2008-04-24,2014-07-02,5,0,5,0
120512,SOUTHERNCARE GADSDEN,AL,GADSDEN,412 SOUTH 5T STREET,35901,For-profit,PROPRIETARY/Corporation,1,2010-08-26,2014-07-02,4,4,0,0
120515,SOUTHERN CARE QUAD CITIES,AL,MUSCLE SHOALS,410 S WILSON DAM HWY,35661,For-profit,PROPRIETARY/Corporation,2,2011-04-07,2014-07-02,6,1,5,0
120516,ALABAMA HOSPICE CARE OF MOBILE,AL,MOBILE,"3290 DAUPHIN STREET, SUITE 505",36606,Non-profit,NON-PROFIT/Private,1,2010-04-29,2014-07-02,0,0,0,0
120519,ASERACARE HOSPICE,AL,DEMOPOLIS,1013 MEDICAL CENTER PARKWAY,36732,For-profit,PROPRIETARY/Other,2,2012-12-16,2014-07-02,6,0,6,0
120520,ASERACARE HOSPICE-JACKSON,AL,JACKSON,4115 COLLEGE AVENUE,36545,For-profit,PROPRIETARY/Corporation,2,2012-07-10,2014-07-02,8,0,8,0
120524,ASERACARE HOSPICE-DECATUR,AL,DECATUR,219 EAST MOULTON STREET,35601,For-profit,PROPRIETARY/Corporation,2,2012-10-21,2014-07-02,7,0,7,0
120525,ASERACARE HOSPICE-MONROEVILLE,AL,MONROEVILLE,1979 S HWY 21 BYPASS,36460,For-profit,PROPRIETARY/Corporation,2,2012-11-16,2014-07-02,3,0,3,0
120526,NEW BEACON OF ALABASTER,AL,ALABASTER,"122 7TH AVENUE NORTHEAST, SUITE D",35007,For-profit,PROPRIETARY/Corporation,2,2012-05-04,2014-07-02,28,6,22,0
120527,SOUTHERN CARE GROVE HILL,AL,GROVE HILL,179B JACKSON STREET,36451,For-profit,PROPRIETARY/Corporation,1,2010-08-12,2014-07-02,1,0,1,0
120528,GENTIVA HOSPICE-BIRMINGHAM,AL,BIRMINGHAM,2000 B SOUTHBRIDGE PARKWAY SUITE 150,35209,For-profit,PROPRIETARY/Corporation,1,2010-03-11,2014-07-02,0,0,0,0
120529,SOUTHERNCARE BIRMINGHAM,AL,BIRMINGHAM,2338 CENTER POINT ROAD,35215,For-profit,PROPRIETARY/Corporation,1,2006-05-25,2014-07-02,45,32,13,0
120531,SOUTHERNCARE HUNTSVILLE,AL,HUNTSVILLE,3322 SOUTH  MEMORIAL PARKWAY SUITE 212,35801,For-profit,PROPRIETARY/Corporation,1,2008-06-19,2014-07-02,7,4,3,0
120532,SOUTHERNCARE ENTERPRISE,AL,ENTERPRISE,"5 NORTH POINT PARKWAY, SUITE D & E",36330,For-profit,PROPRIETARY/Corporation,1,2007-11-01,2014-07-02,3,0,3,0
120534,COMFORT CARE HOSPICE LLC,AL,DEMOPOLIS,"547 U.S. HIGHWAY 80 WEST, SUITE 2",36732,Other,Other,2,2013-11-07,2014-07-02,11,0,11,0
120536,SOUTHERNCARE DEMOPOLIS,AL,DEMOPOLIS,927 HIGHWAY 80 WEST,36732,For-profit,PROPRIETARY/Corporation,1,2010-08-26,2014-07-02,0,0,0,0
120537,SOLAMOR HOSPICE - JACKSONVILLE,AL,SOUTHSIDE,1735 HIGHWAY 77,35907,For-profit,PROPRIETARY/Corporation,2,2011-04-15,2014-07-02,19,7,12,0
120538,LIFE CARE HOSPICE,AL,CULLMAN,21 BEECH GROVE ROAD,35057,For-profit,PROPRIETARY/Corporation,1,2008-04-03,2014-07-02,9,5,4,0
120540,COMFORT CARE HOSPICE OF GREENV,AL,GREENVILLE,501 EAST COMMERCE STREET,36037,For-profit,PROPRIETARY/Partnership,1,2009-06-11,2014-07-02,4,0,4,0
120541,COMMUNITY HOSPICE CARE,AL,TALLASSEE,805 FRIENDSHIP ROAD,36078,For-profit,PROPRIETARY/Corporation,1,2010-08-12,2014-07-02,0,0,0,0
122112,MAT-SU REGIONAL HOSPICE,AK,WASILLA,"950 EAST BOGARD ROAD, SUITE 132",99654,For-profit,PROPRIETARY/Corporation,3,2012-11-25,2014-07-02,28,3,25,0
126527,HOSPICE OF THE VALLEY - CENTRAL,AZ,PHOENIX,"1510 EAST FLOWER STREET, BUILDING 2",85014,Non-profit,NON-PROFIT/Other,2,2013-08-28,2014-07-02,16,0,16,0
126528,CARONDELET HOSPICE AND PALLIATIVE CARE,AZ,TUCSON,1802 WEST ST MARY'S ROAD,85745,Non-profit,NON-PROFIT/Church,4,2012-05-17,2014-07-02,1,1,0,0
126529,NORTHERN ARIZONA HOSPICE-COTTONWOOD,AZ,COTTONWOOD,"203 SOUTH CANDY LANE, SUITE 10A",86326,Non-profit,NON-PROFIT/Other,2,2012-02-24,2014-07-02,0,0,0,0
126532,HOSPICE OF THE VALLEY EAST,AZ,GILBERT,2020 EAST WOODSIDE COURT,85297,Non-profit,NON-PROFIT/Other,3,2013-09-25,2014-07-02,18,1,17,0
126533,YRMC HOSPICE,AZ,PRESCOTT VALLEY,3262 NORTH WINDSONG DRIVE,86314,Other,Other,1,2009-08-13,2014-07-02,0,0,0,0
126535,HOSPICE OF YUMA,AZ,YUMA,1824 SOUTH 8TH AVENUE,85364,Non-profit,NON-PROFIT/Private,2,2012-01-12,2014-07-02,0,0,0,0
126536,SUN HEALTH HOSPICE,AZ,PEORIA,"12740 NORTH PLAZA DEL RIO BOULEVARD, SUITE A",85381,Non-profit,NON-PROFIT/Private,1,2004-07-15,2014-07-02,1,0,1,0
126538,NORTHLAND HOSPICE & PALLIATIVE,AZ,FLAGSTAFF,452 NORTH SWITZER CANYON DRIVE,86001,For-profit,PROPRIETARY/Corporation,2,2012-03-15,2014-07-02,12,0,12,0
126540,T M C HOSPICE AKA PEPPI'S HOUSE (HOME HOSPICE),AZ,TUCSON,2715 NORTH WYATT,85712,Other,Other,3,2011-11-17,2014-07-02,20,16,4,0
126541,HOSPICE OF THE VALLEY - WEST,AZ,PEORIA,9435 WEST PEORIA AVENUE,85345,Other,Other,2,2012-05-10,2014-07-02,9,0,9,0
126543,SCOTTSDALE HOSPICE OF VALLEY,AZ,SCOTTSDALE,16117 NORTH 76TH STREET,85260,Non-profit,NON-PROFIT/Private,2,2011-09-01,2014-07-02,5,0,5,0
126545,"HOSPICE FAMILY CARE, INC.",AZ,TUCSON,"6300 EAST EL DORADO PLAZA, A-100",85715,For-profit,PROPRIETARY/Corporation,3,2013-09-16,2014-07-02,25,6,19,0
126546,BANNER HOSPICE,AZ,GILBERT,"275 EAST GERMANN ROAD, SUITE 110N",85297,Non-profit,NON-PROFIT/Private,2,2012-04-05,2014-07-02,17,0,17,0
126547,HOSPICE COMPASSUS-CASA GRANDE,AZ,CASA GRANDE,"1675 EAST MONUMENT PLAZA DRIVE, SUITE A",85222,For-profit,PROPRIETARY/Corporation,2,2011-10-27,2014-07-02,10,0,10,0
126548,MT GRAHAM REGIONAL MEDICAL CENTER HOSPICE SERVICES,AZ,SAFFORD,"1600 SOUTH 20TH AVENUE, BUILDING E",85546,For-profit,PROPRIETARY/Corporation,2,2012-07-25,2014-07-02,4,0,4,0
126549,HOSPICE COMPASSUS-PAYSON,AZ,PAYSON,"511 SOUTH MUDSPRING ROAD, SUITE #1",85541,For-profit,PROPRIETARY/Corporation,2,2010-10-19,2014-07-02,10,0,10,0
126551,HOSPICE OF ARIZONA,AZ,PHOENIX,"19820 NORTH SEVENTH AVENUE, SUITE 130",85027,For-profit,PROPRIETARY/Other,6,2012-05-21,2014-07-02,29,10,19,0
126553,TRINITY HOSPICE OF PHOENIX,AZ,PHOENIX,6245 NORTH 24TH PARKWAY,85016,For-profit,PROPRIETARY/Other,1,2008-06-12,2014-07-02,6,6,0,0
126555,CASA DE LA PAZ HOSPICE,AZ,SIERRA VISTA,185 SOUTH MOORMAN AVENUE,85635,Non-profit,NON-PROFIT/Private,4,2013-09-19,2014-07-02,0,0,0,0
126557,BANNER HOSPICE PHOENIX OFFICE,AZ,PHOENIX,"202 EAST EARLL DRIVE, SUITE 160",85012,For-profit,PROPRIETARY/Corporation,2,2012-01-11,2014-07-02,12,2,10,0
126560,MOHAVE HOSPICE,AZ,BULLHEAD CITY,"2755 SILVER CREEK ROAD, SUITE 127",86442,For-profit,PROPRIETARY/Corporation,3,2014-03-02,2014-07-02,14,0,14,0
126562,HOSPICE FAMILY CARE-PRESCOTT,AZ,PRESCOTT,"100 EAST SHELDON STREET, SUITE #100",86301,For-profit,PROPRIETARY/Corporation,2,2013-01-25,2014-07-02,7,0,7,0
126563,HOSPICE FAMILY CARE,AZ,MESA,"1550 SOUTH ALMA SCHOOL ROAD, SUITE #102",85210,For-profit,PROPRIETARY/Corporation,2,2011-12-02,2014-07-02,30,7,23,0
126564,GENTIVA HOSPICE,AZ,TUCSON,"5210 EAST WILLIAMS CIRCLE, SUITE 300",85711,For-profit,PROPRIETARY/Corporation,2,2013-07-02,2014-07-02,22,3,19,0
126565,HOSPICE FAMILY CARE - SUN CITY,AZ,PEORIA,"9051 WEST KELTON LANE, SUITE 8",85382,For-profit,PROPRIETARY/Corporation,1,2004-07-22,2014-07-02,4,0,4,0
126566,HIGHWAY CHRISTIAN HOSPICE,AZ,PHOENIX,"67 EAST WELDON AVENUE, SUITE 317",85012,For-profit,PROPRIETARY/Indvidual,2,2012-02-29,2014-07-02,0,0,0,0
126569,"HOSPICE OF HAVASU, INC.",AZ,LAKE HAVASU CITY,365 SOUTH LAKE HAVASU AVENUE,86403,Non-profit,NON-PROFIT/Private,2,2013-09-10,2014-07-02,4,0,4,0
126573,CASA DE LA LUZ HOSPICE,AZ,TUCSON,7740 NORTH ORACLE ROAD,85704,For-profit,PROPRIETARY/Other,3,2013-09-25,2014-07-02,8,0,8,0
126574,HEARTLAND HOSPICE SERVICES OF TUCSON,AZ,TUCSON,3112 NORTH SWAN ROAD,85712,For-profit,PROPRIETARY/Corporation,4,2012-05-07,2014-07-02,0,0,0,0
126575,HOSPICE INSPIRIS,AZ,PHOENIX,"2025 NORTH 3RD STREET, SUITE B205",85004,For-profit,PROPRIETARY/Corporation,2,2012-06-19,2014-07-02,0,0,0,0
126576,HOSPICE COMPASSUS-WHITE MOUNTAIN,AZ,LAKESIDE,"1789 WEST COMMERCE DRIVE, SUITE A",85929,For-profit,PROPRIETARY/Corporation,2,2010-09-23,2014-07-02,0,0,0,0
126577,"CHARLES WM LEIGHTON, JR HOSPICE",AZ,WILLCOX,524 WEST MALEY PLACE,85643,Non-profit,NON-PROFIT/Private,2,2012-03-29,2014-07-02,13,1,12,0
130077,WASHINGTON REGIONAL MED CTR HO,AR,FAYETTEVILLE,"34 WEST COLT SQUARE, SUITE #1",72703,Non-profit,NON-PROFIT/Private,2,2012-09-06,2014-07-02,4,0,4,0
130078,HOSPICE OF THE OZARKS,AR,MOUNTAIN HOME,701 BURNETT DRIVE,72653,Other,Other,2,2013-07-25,2014-07-02,4,0,4,0
130079,AREA AGCY AGING HOSPICE OF WES,AR,FORT SMITH,524 GARRISON AVENUE,72902,Non-profit,NON-PROFIT/Private,2,2013-04-10,2014-07-02,5,0,5,0
130080,OUACHITA COUNTY MEDICAL CENTER,AR,CAMDEN,726 CALIFORNIA AVENUE,71701,Non-profit,NON-PROFIT/Private,1,2007-01-24,2014-07-02,1,0,1,0
130081,ST EDWARD MERCY MED CTR HOSPICE,AR,FORT SMITH,5401 ELLSWORTH ROAD,72917,Non-profit,NON-PROFIT/Church,2,2011-08-30,2014-07-02,14,0,14,0
130082,ARKANSAS DEPARTMENT OF HEALTH HOSPICE 9W,AR,BRINKLEY,915 SOUTH GRAND AVENUE,72021,Government,GOVERNMENT/State,1,2009-07-22,2014-07-02,0,0,0,0
130083,PATIENT'S CHOICE HOSPICE,AR,FORREST CITY,310 NORTH FORREST,72335,For-profit,PROPRIETARY/Corporation,2,2012-08-23,2014-07-02,0,0,0,0
130085,"VISITING NURSES AGENCY OF WESTERN ARKANSAS, INC",AR,OZARK,"257 AIRPORT ROAD, SUITE D",72949,Non-profit,NON-PROFIT/Private,1,2007-02-14,2014-07-02,4,0,4,0
130086,ARKANSAS DEPARTMENT OF HEALTH HOSPICE 9E,AR,FORREST CITY,1501 DAWSON ROAD,72335,Government,GOVERNMENT/State,2,2013-08-29,2014-07-02,0,0,0,0
130087,HOSPICE OF CENTRAL ARKANSAS,AR,HOT SPRINGS,1403 CENTRAL AVENUE,71901,For-profit,PROPRIETARY/Corporation,1,2009-06-17,2014-07-02,0,0,0,0
130088,ST BERNARDS REGIONAL MED CTR H,AR,JONESBORO,1726 MARIE CIRCLE,72401,Non-profit,NON-PROFIT/Private,2,2010-07-30,2014-07-02,3,0,3,0
130091,AAA OF WESTERN ARK INC MENA HO,AR,MENA,600 SEVENTH STREET,71953,Non-profit,NON-PROFIT/Private,1,2007-01-11,2014-07-02,6,0,6,0
130093,ARKANSAS HOSPICE RUSSELLVILLE,AR,RUSSELLVILLE,"2405 EAST PARKWAY, SUITE 3",72802,Non-profit,NON-PROFIT/Private,2,2012-05-18,2014-07-02,9,0,9,0
130094,HOSPICE HOME CARE OF PINE BLUFF PLLC,AR,PINE BLUFF,3135 WEST 28TH STREET,71603,For-profit,PROPRIETARY/Corporation,1,2010-07-06,2014-07-02,1,0,1,0
130095,BAPTIST HEALTH HOSPICE LITTLE ROCK,AR,LITTLE ROCK,"11900 COLONEL GLENN RD, SUITE 2300",72210,Non-profit,NON-PROFIT/Private,1,2007-01-04,2014-07-02,6,0,6,0
130096,CRITTENDEN REGIONAL HOSPITAL-HOSPICE,AR,WEST MEMPHIS,308 SOUTH RHODES STREET,72301,Government,GOVERNMENT/County,1,2006-10-05,2014-07-02,6,0,6,0
130097,LIFE TOUCH HOSPICE,AR,EL DORADO,2301 CHAMPAGNOLLE,71730,Non-profit,NON-PROFIT/Private,1,2007-09-19,2014-07-02,11,0,11,0
130098,HOSPICE HOME CARE INC OF MONTI,AR,MONTICELLO,453 WEST GAINES STREET,71655,For-profit,PROPRIETARY/Corporation,2,2011-08-09,2014-07-02,8,2,6,0
130099,HOSPICE HOME CARE INC,AR,LITTLE ROCK,2200 SOUTH BOWMAN ROAD,72211,For-profit,PROPRIETARY/Corporation,3,2012-09-28,2014-07-02,32,27,5,0
130100,"SERENITY HOSPICE, LLC",AR,TEXARKANA,1305 ARKANSAS BOULEVARD,71854,For-profit,PROPRIETARY/Corporation,1,2010-06-11,2014-07-02,4,1,3,0
130102,AMEDISYS HOSPICE OF MOUNTAIN VIEW,AR,MOUNTAIN VIEW,"213 EAST WASHINGTON STREET, SUITE 2",72560,For-profit,PROPRIETARY/Corporation,1,2010-06-25,2014-07-02,0,0,0,0
130103,ARKANSAS DEPARTMENT OF HEALTH HOSPICE 3,AR,RUSSELLVILLE,"NORTHWEST REGIONAL OFFICE, 404 EL PASO",72801,Government,GOVERNMENT/State,1,2009-09-24,2014-07-02,2,0,2,0
130104,CIRCLE OF LIFE HOSPICE,AR,SPRINGDALE,901 JONES ROAD,72762,Non-profit,NON-PROFIT/Private,3,2012-08-17,2014-07-02,5,0,5,0
130105,MERCY HOSPICE,AR,BERRYVILLE,"804 WEST FREEMAN, SUITE 4",72616,For-profit,PROPRIETARY/Corporation,2,2010-08-26,2014-07-02,2,0,2,0
130106,ARKANSAS DEPARTMENT OF HEALTH HOSPICE 6,AR,MAGNOLIA,207 SOUTH JEFFERSON,71753,Government,GOVERNMENT/State,2,2011-02-03,2014-07-02,0,0,0,0
130107,ARKANSAS DEPARTMENT OF HEALTH HOSPICE 5,AR,TEXARKANA,503 WALNUT,71854,Government,GOVERNMENT/County,2,2013-06-05,2014-07-02,1,0,1,0
130109,HOSPICE OF THE HILLS,AR,HARRISON,620 NORTH MAIN STREET,72601,Government,GOVERNMENT/County,1,2008-09-16,2014-07-02,6,0,6,0
130110,HOSPICE OF HOPE,AR,TEXARKANA,3605 JEFFERSON AVENUE,71854,Non-profit,NON-PROFIT/Private,3,2013-08-20,2014-07-02,2,1,1,0
130112,ARKANSAS DEPARTMENT OF HEALTH HOSPICE 4,AR,HOT SPRINGS,"1425 MALVERN AVENUE,",71901,Government,GOVERNMENT/State,2,2013-01-17,2014-07-02,0,0,0,0
130113,PATIENT'S CHOICE HOSPICE,AR,HOLIDAY ISLAND,2 PARKCLIFF DRIVE,72631,For-profit,PROPRIETARY/Corporation,1,2009-12-16,2014-07-02,3,3,0,0
130114,ARKANSAS DEPARTMENT OF HEALTH HOSPICE 10,AR,BATESVILLE,40 ALLEN CHAPEL ROAD,72501,Government,GOVERNMENT/State,2,2010-08-27,2014-07-02,0,0,0,0
130116,ST MARY'S HOSPICE,AR,ROGERS,1001 WEST WALNUT SUITE 3,72756,Non-profit,NON-PROFIT/Private,1,2004-07-22,2014-07-02,1,0,1,0
130122,"HOSPICE PEACHTREE, LLC",AR,FORT SMITH,"4300 ROGERS AVENUE, SUITE 33",72903,For-profit,PROPRIETARY/Other,2,2008-09-18,2014-07-02,0,0,0,0
130123,"SPRING RIVER HOSPICE, INC",AR,HARDY,2852C HIGHWAY 62/412,72542,For-profit,PROPRIETARY/Corporation,1,2004-06-10,2014-07-02,8,0,8,0
130125,HH AND HOSPICE SRVC OF SALINE,AR,BENTON,1 MEDICAL PARK DRIVE,72015,For-profit,PROPRIETARY/Corporation,2,2010-06-17,2014-07-02,3,0,3,0
130126,HOME HEALTH PROFESSIONAL & HOSPICE,AR,JONESBORO,2222 SPENCE CIRCLE,72401,For-profit,PROPRIETARY/Corporation,1,2007-04-05,2014-07-02,45,33,12,0
130127,CMC HOSPICE,AR,MOUNTAIN HOME,"400 SOUTH COLLEGE, SUITE 2",72653,Other,Other,2,2011-02-25,2014-07-02,1,0,1,0
130129,BAPTIST HEALTH HOSPICE ARKADEL,AR,ARKADELPHIA,3050 TWIN RIVERS DRIVE,71923,Non-profit,NON-PROFIT/Church,2,2011-03-10,2014-07-02,6,0,6,0
130134,OUACHITA REGIONAL HOSPICE,AR,MENA,1106 SOUTH MENA STREET,71953,For-profit,PROPRIETARY/Corporation,2,2011-04-22,2014-07-02,1,0,1,0
130135,HOSPICE CARE SERVICES,AR,PINE BLUFF,"3801 CAMDEN ROAD, CHAPEL VILLAGE, SUITE 12",71603,For-profit,PROPRIETARY/Indvidual,2,2011-02-28,2014-07-02,2,0,2,0
130136,ODYSSEY HOSPICE,AR,LITTLE ROCK,"10800 FINANCIAL CENTRE PARKWAY, SUITE 380",72211,For-profit,PROPRIETARY/Corporation,2,2012-11-21,2014-07-02,0,0,0,0
130139,ARKANSAS HOSPICE INC,AR,NORTH LITTLE ROCK,14 PARKSTONE CIRCLE,72116,Non-profit,NON-PROFIT/Other,2,2009-07-10,2014-07-02,6,6,0,0
158733,SUTTER VISITING NURSE ASSOCIATION AND HOSPICE,CA,SAN FRANCISCO,"1625 VAN NESS AVENUE, 4TH FLOOR",94109,Non-profit,NON-PROFIT/Private,1,2011-11-22,2014-07-02,3,0,3,0
158734,KAISER FOUNDATION HOSPITAL HOSPICE PROGRAM,CA,DOWNEY,12200 BELLFLOWER BLVD,90242,Non-profit,NON-PROFIT/Private,1,2012-06-09,2014-07-02,7,7,0,0
158735,SCRIPPS HOSPICE,CA,POWAY,"13053 POWAY ROAD, SUITE A & C",92064,For-profit,PROPRIETARY/Corporation,1,2007-02-05,2014-07-02,15,0,15,0
158736,PATHWAYS HOME HEALTH AND HOSPICE,CA,OAKLAND,"333 HEGENBERGER ROAD, SUITE 700",94621,Other,Other,1,2012-01-19,2014-07-02,0,0,0,0
158738,HOSPICE BY THE BAY,CA,LARKSPUR,17 EAST SIR FRANCIS DRAKE BLVD,94939,Non-profit,NON-PROFIT/Private,1,2013-02-20,2014-07-02,1,1,0,0
158741,SAN DIEGO HOSPICE & THE INSTITUTE FOR PALLIATIVE M,CA,SAN DIEGO,4311 THIRD AVENUE,92103,For-profit,PROPRIETARY/Corporation,1,2011-09-22,2014-07-02,41,32,9,0
158742,PROVIDENCE TRINITYCARE HOSPICE,CA,TORRANCE,5315 TORRANCE BLVD.,90503,Non-profit,NON-PROFIT/Church,3,2013-08-21,2014-07-02,30,8,22,0
158744,KAISER FOUNDATION HOSPITAL HOSPICE,CA,FONTANA,17284 SLOVER AVENUE SUITE 105,92337,Other,Other,1,2012-03-17,2014-07-02,18,15,3,0
158749,KAISER FOUNDATION HOSPITAL VALLEY CONTINUING CARE,CA,GRANADA HILLS,10605 BALBOA BLVD SUITE 330,91344,Non-profit,NON-PROFIT/Private,2,2012-07-13,2014-07-02,0,0,0,0
158751,HOSPICE BY THE BAY,CA,SAN FRANCISCO,"1902 VAN NESS AVENUE, 2ND FLOOR",94109,Non-profit,NON-PROFIT/Other,2,2013-02-26,2014-07-02,0,0,0,0
158752,BUTTE HOME HEALTH HOSPICE,CA,CHICO,10 CONSTITUTION DRIVE,95926,Non-profit,NON-PROFIT/Private,1,2010-08-24,2014-07-02,6,0,6,0
158754,HOSPICE OF SANTA CRUZ COUNTY,CA,SCOTTS VALLEY,940 DISC DRIVE,95066,For-profit,PROPRIETARY/Corporation,1,2012-06-14,2014-07-02,3,0,3,0
