code,edited description,short description
538,"Deficiency cited: Plan of care. The plan of care must specify the hospice care and services necessary to 
meet the patient and family-specific needs identified in the comprehensive 
assessment as such needs relate to the terminal illness and related conditions. 
 
There should be a direct link between the needs identified in the patient/family 
assessment and the plan of care developed by the hospice.  Hospices may identify needs 
in the comprehensive assessment that are not related to the terminal illness and related 
conditions, and should document that they are aware of these needs and note who is 
addressing them.  Hospices are not required to provide direct services to meet needs 
unrelated to the terminal illness.  Hospices are responsible for including services and 
treatments in the plan of care that address how they will meet the patient and family-
specific needs related to the terminal illness and related conditions.   
 
The medical director and/or other hospice physician is responsible for meeting the 
medical needs of the patient according to §418.64(a)(3) per the patient’s attending 
physician’s request or when the hospice is unable to contact the attending physician to 
address the patient’s medical needs. (538)","IDG, CARE PLANNING, COORDINATION OF SERVICES"
539,"Deficiency cited: Approach to service delivery. The hospice must designate an interdisciplinary group or groups composed of individuals who work together to meet the physical, medical, psychosocial, emotional, and spiritual needs of the hospice patients and families facing terminal illness and bereavement. Interdisciplinary group members must provide the care and services offered by the hospice, and the group, in its entirety, must supervise the care and services. (539)",APPROACH TO SERVICE DELIVERY
540,"Deficiency cited: Approach to service delivery. The hospice must designate a registered nurse that is a member of 
the interdisciplinary group to provide coordination of care and to ensure continuous 
assessment of each patient’s and family's needs and implementation of the 
interdisciplinary plan of care. (540)
",APPROACH TO SERVICE DELIVERY
541,"Deficiency cited: Approach to service delivery. The interdisciplinary group must include, but is not limited to, individuals who are qualified and competent to practice in the following professional roles: A doctor of medicine or osteopathy (who is an employee or under contract with the hospice). A registered nurse. A social worker. A pastoral or other counselor. (541)",APPROACH TO SERVICE DELIVERY
542,"Deficiency cited: Approach to service delivery. If the hospice has more than one interdisciplinary group, it must 
identify a specifically designated interdisciplinary group to establish policies 
governing the day-to-day provision of hospice care and services. (542)
",APPROACH TO SERVICE DELIVERY
543,"Deficiency cited: Plan of care. All hospice care and services furnished to patients and their families must follow an individualized written plan of care established by the hospice interdisciplinary group in collaboration with the attending physician (if any), the patient or representative, and the primary caregiver in accordance with the patient’s needs if any of them so desire. (543)",PLAN OF CARE
544,"Deficiency cited: Plan of care .The hospice must ensure that each patient and the primary care 
giver(s) receive education and training provided by the hospice as appropriate to 
their responsibilities for the care and services identified in the plan of care. (544)",PLAN OF CARE
545,"Deficiency cited: Content of the plan of care  
 
The hospice must develop an individualized written plan of care for each patient.  
The plan of care must reflect patient and family goals and interventions based on 
the problems identified in the initial, comprehensive, and updated comprehensive 
assessments.  The plan of care must include all services necessary for the palliation 
and management of the terminal illness and related conditions. (545)
",CONTENT OF PLAN OF CARE
546,"Deficiency cited: Interventions to manage pain and symptoms. 
 
The goal of effective pain and symptom management is quality of life.  When the pain 
and symptoms that cause distress to the patient are effectively managed, the patient and 
family are better able to focus on their vision of a “good death.”  Effective pain and 
symptom management include the ongoing assessment of the patient’s physical, 
psychosocial, emotional and spiritual needs and re-evaluating the effectiveness of the 
current plan of care in order to address those needs.   
 
There should be evidence in the clinical record and on home visits that the hospice treats 
patient’s symptoms such as pain, nausea, vomiting, dehydration, constipation, dyspnea, 
emotional distress, insomnia, neuropsychiatric symptoms, and spiritual needs using 
accepted professional standards of practice.  
 
The hospice may also include the use of alternative therapies in the plan of care, to 
benefit hospice patients/families (e.g., art, yoga, massage, music and light therapy). (546)",CONTENT OF PLAN OF CARE
547,"Deficiency cited: Plan of care. A detailed statement of the scope and frequency of services necessary 
to meet the specific patient and family needs. 
 
The use of visit ranges in the patient plan of care should follow these parameters: 
 
•  The plan of care may include a range of visits and PRN (Latin abbreviation for 
pro re nata - as needed; as circumstances require) orders for visit frequencies to 
ensure the most appropriate level of service is provided to the patient. 

•  A range of visits is acceptable as long as it continues to meet the identified needs of the patient/family. 

•  Visit ranges with small intervals are acceptable (i.e., 1-3 visits/week; 2-4 
visits/week) but ranges that include “0” as a frequency are not allowed.  

•  The IDG may exceed the number of visits in the range to address patient/family’s 
needs.  There should be documentation in the record to support the need for the 
extra visit(s).  
 
If the patient requires frequent use of PRN visits, the plan of care should be updated to 
include the need for additional visits.   
 
Standing orders or routine orders must be individualized to address the specific patient’s 
needs and signed by the patient’s physician. 
 
The IDG should be proactive in developing each patient’s plan of care by planning ahead 
for anticipated patient changes and needs.  Decisions should reflect the patient/family 
preferences rather than be solely a response to a crisis. (547)
  

",CONTENT OF PLAN OF CARE
548,"Deficiency cited: Measurable outcomes anticipated from implementing and 
coordinating the plan of care. 
 
The outcomes should be a measurable result of the implementation of the plan of care.  
The hospice should be using data elements as a part of the plan of care to see if they are 
meeting the goals of care. (548)",CONTENT OF PLAN OF CARE
549,"Deficiency cited: Drugs and treatment necessary to meet the needs of the patient. (549)
",CONTENT OF PLAN OF CARE
550,"Deficiency cited: Medical supplies and appliances necessary to meet the needs of the 
patient. (550)
",CONTENT OF PLAN OF CARE
551,"Deficiency cited: The interdisciplinary group's documentation of the patient’s or 
representative’s level of understanding, involvement, and agreement with the plan 
of care, in accordance with the hospice’s own policies, in the clinical record. (551)
",CONTENT OF PLAN OF CARE
552,"Deficiency cited: Review of the plan of care  
 
The hospice interdisciplinary group (in collaboration with the individual’s attending 
physician, if any) must review, revise and document the individualized plan as 
frequently as the patient’s condition requires, but no less frequently than every 15 
calendar days. (552)
",REVIEW OF THE PLAN OF CARE
553,"Deficiency cited: A revised plan of care must include information from the patient's 
updated comprehensive assessment and must note the patient’s progress toward 
outcomes and goals specified in the plan of care. (553)",REVIEW OF THE PLAN OF CARE
554,"Deficiency cited: Coordination of services   
 
The hospice must develop and maintain a system of communication and integration, in accordance with the hospice’s own policies and procedures, to ensure that the interdisciplinary group maintains responsibility for directing, coordinating, and supervising the care and services provided. (554)
",COORDINATION OF SERVICES
555,"Deficiency cited: Ensure that the care and services are provided in accordance with 
the plan of care. (555)
",COORDINATION OF SERVICES
556,"Deficiency cited: Ensure that the care and services provided are based on all 
assessments of the patient and family needs. (556)
",COORDINATION OF SERVICES
557,"Deficiency cited: Provide for and ensure the ongoing sharing of information between 
all disciplines providing care and services in all settings, whether the care and 
services are provided directly or under arrangement. (557)
",COORDINATION OF SERVICES
558,"Deficiency cited: Provide for an ongoing sharing of information with other non-
hospice healthcare providers furnishing services unrelated to the terminal illness 
and related conditions. (558)",COORDINATION OF SERVICES
559,"Deficiency cited: Condition of participation. Quality assessment and performance 
improvement (559)
",QUALITY ASSESSMENT & PERFORMANCE IMPROVEMENT
560,"Deficiency cited: The hospice must develop, implement, and maintain an effective, ongoing, 
hospice-wide data-driven quality assessment and performance improvement 
program.  The hospice’s governing body must ensure that the program: reflects the 
complexity of its organization and services; involves all hospice services (including 
those services furnished under contract or arrangement); focuses on indicators 
related to improved palliative outcomes; and takes actions to demonstrate 
improvement in hospice performance.  The hospice must maintain documentary 
evidence of its quality assessment and performance improvement program and be 
able to demonstrate its operation to CMS. (560)",QUALITY ASSESSMENT & PERFORMANCE IMPROVEMENT
561,"Deficiency cited: Program scope 
 
(1) The program must at least be capable of showing measurable improvement in 
indicators related to improved palliative outcomes and hospice services. (561)
",PROGRAM SCOPE
562,"Deficiency cited: The hospice must measure, analyze, and track quality indicators, 
including adverse patient events, and other aspects of performance that enable the 
hospice to assess processes of care, hospice services, and operations. (562)",PROGRAM SCOPE
563,"Deficiency cited: Program data 
 
The program must use quality indicator data, including patient care, and other 
relevant data, in the design of its program. (563)",PROGRAM DATA
564,"Deficiency cited: Program data. The hospice must use the data collected to do the following: 

(i)  Monitor the effectiveness and safety of services and quality of care. 
(ii)  Identify opportunities and priorities for improvement. (564)",PROGRAM DATA
565,"Deficiency cited: Program data. The frequency and detail of the data collection must be approved by 
the hospice’s governing body. (565)",PROGRAM DATA
566,"Deficiency cited: Program activities 
The hospice’s performance improvement activities must focus on high risk, high volume, or problem-prone areas. (566)",PROGRAM ACTIVITIES
567,"Deficiency cited: Program activities. The hospice’s performance improvement activities must consider incidence, prevalence, and severity of problems in those areas. (567)
",PROGRAM ACTIVITIES
568,"Deficiency cited: Program activities. The hospice’s performance improvement activities must affect palliative outcomes, patient safety, and quality of care. (568)",PROGRAM ACTIVITIES
569,"Deficiency cited: Program activities. The hospice’s performance improvement activities Performance improvement activities must track adverse patient events, analyze their causes, and implement preventive actions and mechanisms that include feedback and learning throughout the hospice. (569)
",PROGRAM ACTIVITIES
570,"Deficiency cited: The hospice must take actions aimed at performance improvement 
and, after implementing those actions, the hospice must measure its success and 
track performance to ensure that improvements are sustained. 
 
Hospices must consider how often certain quality issues arise and the severity of potential 
harm when prioritizing opportunities for improvement.  When adverse event monitoring 
reveals a problem area, the hospice must implement changes designed to decrease 
occurrence of the adverse event.  The hospice must assure that the new process is 
implemented hospice-wide and that it is effective in reducing the adverse event.  For 
performance improvement in all areas of operations, the hospice must monitor the level 
of improvement over time to be sure that it is sustained. (570)",PROGRAM ACTIVITIES
571,"Deficiency cited: Performance improvement projects 
 
Beginning February 2, 2009, hospices must develop, implement and evaluate 
performance improvement projects. (571)",PERFORMANCE IMPROVEMENT PROJECTS
572,"Deficiency cited: Performance improvement projects 
The number and scope of distinct performance improvement 
projects conducted annually, based on the needs of the hospice’s population and 
internal organizational needs, must reflect the scope, complexity, and past 
performance of the hospice's services and operations. (572)
",PERFORMANCE IMPROVEMENT PROJECTS
573,"Deficiency cited: Performance improvement projects. 
The hospice must document what performance improvement 
projects are being conducted, the reasons for conducting these projects, and the 
measurable progress achieved on these projects. (573)
",PERFORMANCE IMPROVEMENT PROJECTS
574,"Deficiency cited: Executive responsibilities 

The hospice’s governing body is responsible for ensuring the following: 
 
(1)  That an ongoing program for quality improvement and patient safety is defined, 
implemented, and maintained, and is evaluated annually. (574)",EXECUTIVE RESPONSIBILITIES
575,"Deficiency cited: Executive responsibilities 

The hospice’s governing body is responsible for ensuring the following: That the hospice-wide quality assessment and performance improvement efforts address priorities for improved quality of care and patient safety, and that all improvement actions are evaluated for effectiveness. (575)
",EXECUTIVE RESPONSIBILITIES
576,"Deficiency cited: Executive responsibilities 

The hospice’s governing body is responsible for ensuring the following: That one or more individual(s) who are responsible for operating the quality assessment and performance improvement program are designated. (576)",EXECUTIVE RESPONSIBILITIES
577,"Deficiency cited: Condition of participation. Infection control (577) 
",INFECTION CONTROL
578,"Deficiency cited: Condition of participation: Inspection control. The hospice must maintain and document an effective infection control program that protects patients, families, visitors, and hospice personnel by preventing and controlling infections and communicable diseases. 
 
The hospice infection control program must identify risks for the acquisition and 
transmission of infectious agents in all settings where patients reside. There needs to be a 
system to communicate with all hospice personnel, patients, families and visitors about 
infection prevention and control issues including their role in preventing the spread of 
infections and communicable diseases through daily activities. (578)",INFECTION CONTROL
579,"Deficiency cited: Prevention   
 
The hospice must follow accepted standards of practice to prevent the transmission 
of infections and communicable diseases, including the use of standard precautions. 
 
Accepted standards of practice for health care providers are typically developed by 
government agencies, professional organizations and associations.  Examples would 
include, but not be limited to, the Centers for Disease Control and Prevention (CDC), the 
Agency for Healthcare Research and Quality, State Practice Acts, and commonly 
accepted health standards established by national organizations, boards, and councils 
(e.g., Association for Professionals in Infection Control and Epidemiology (APIC), 
American Nurses’ Association etc.)  
 
Standard Precautions are based on the principle that all blood, body fluids, secretions, 
excretions (except sweat), non-intact skin, and mucous membranes may contain 
transmissible infectious agents.  Standard Precautions include a group of infection 
prevention practices that apply to all patients, regardless of suspected or confirmed 
infection status, in any setting in which healthcare is delivered. These include: hand 
hygiene; use of gloves, gown, mask, eye protection, or face shield, depending on the 
anticipated exposure; and safe injection practices. Also, equipment or items in the patient 
environment likely to have been contaminated with infectious body fluids must be 
handled in a manner to prevent transmission of infectious agents (e.g., wearing gloves for 
direct contact, contain heavily soiled equipment, properly clean and disinfect or sterilize 
reusable equipment before use on another patient).  (Excerpt from CDC “Guideline for 
Isolation Precautions: Preventing Transmission of Infectious Agents in Healthcare 
Settings 2007.”)   
 
Any deficiency cited as a violation of accepted standards of practice must have a copy of 
the applicable standard of practice provided to the hospice along with the statement of 
deficiencies.  A hospice may also be surveyed for compliance with State practice acts for 
each relevant discipline.  Any deficiency cited as a violation of a State practice act must 
reference the applicable section of the State practice act allegedly violated, and a copy of 
that section of the act must be provided to the hospice along with the statement of 
deficiencies. (579)
 
",PREVENTION
580,"Deficiency cited: Infection control.
 
The hospice must maintain a coordinated agency-wide program for the surveillance, 
identification, prevention, control, and investigation of infectious and communicable 
diseases that— 
 
(1) Is an integral part of the hospice's quality assessment and performance 
improvement program; and 
 
Examples of infection control practices that the hospice may use include monitoring work 
related employee illness and infections, analyzing them in relation to patient infections, 
and taking appropriate actions when an infection or communicable disease is present to 
prevent its spread among staff, patients, family and visitors. 
 
Surveillance data should be routinely reviewed and monitored.  Appropriate corrective 
actions need to be taken based on the data analysis.  The hospice must use this 
information as a part of its QAPI program. (580)
",CONTROL
581,"Deficiency cited: Infection control. Includes the following:  
 
(i)  A method of identifying infectious and communicable disease problems; 
 
(ii)  A plan for implementing the appropriate actions that are expected to result in improvement and disease prevention. (581)",CONTROL
582,"Deficiency cited: Infection control education  
 
The hospice must provide infection control education to employees, contracted 
providers, patients, and family members and other caregivers. (582)",EDUCATION
583,"Deficiency cited: Condition of participation. Licensed professional services. (583)
",LICENSED PROFESSIONAL SERVICES
584,"Deficiency cited: Condition of participation. Licensed professional services provided directly or under arrangement must be authorized, delivered, and supervised only by health care professionals who meet the appropriate qualifications specified under §418.114 and who practice under the hospice’s policies and procedures. 
 
Licensed professional services, for purposes of this section, would include, but not be 
limited to, skilled nursing care, physical therapy, speech language pathology, 
occupational therapy, and medical social services. (584)
",LICENSED PROFESSIONAL SERVICES
585,"Deficiency cited: Condition of participation. Licensed professionals must actively participate in the coordination of 
all aspects of the patient’s hospice care, in accordance with current professional 
standards and practice, including participating in ongoing interdisciplinary 
comprehensive assessments, developing and evaluating the plan of care, and 
contributing to patient and family counseling and education. (585)
",LICENSED PROFESSIONAL SERVICES
586,"Deficiency cited: Condition of participation. Licensed professionals must participate in the hospice’s quality 
assessment and performance improvement program and hospice sponsored in-
service training. (586)",LICENSED PROFESSIONAL SERVICES
587,Deficiency cited: Condition of participation. Core services (587),CORE SERVICES
588,"Deficiency cited: Condition of participation. Core services
 
A hospice must routinely provide substantially all core services directly by 
hospice employees.  These services must be provided in a manner consistent with 
acceptable standards of practice.  These services include nursing services, medical 
social services, and counseling.  The hospice may contract for physician services as 
specified in paragraph (a) of this section. (588)
",CORE SERVICES
589,"Deficiency cited: Condition of participation. Core services
 
A hospice may use contracted staff, if necessary, to supplement hospice 
employees in order to meet the needs of patients under extraordinary or other non-
routine circumstances. A hospice may also enter into a written arrangement with 
another Medicare certified hospice program for the provision of core services to 
supplement hospice employee/staff to meet the needs of patients. Circumstances 
under which a hospice may enter into a written arrangement for the provision of 
core services include: unanticipated periods of high patient loads, staffing shortages 
due to illness or other short-term temporary situations that interrupt patient care; 
and temporary travel of a patient outside of the hospice’s service area.  

Extraordinary circumstances generally would be a short-term temporary event that was 
unanticipated.  Examples of such circumstances might include, but are not limited to, 
unanticipated periods of high patient loads (such as an unexpectedly large number of 
patients requiring continuous care simultaneously), staffing shortages due to illness, 
receiving patients evacuated from a disaster such as a hurricane or a wildfire, or 
temporary travel of a patient outside the hospice’s service area. (589)

",CORE SERVICES
590,"Deficiency cited: Physician services

The hospice medical director, physician employees, and contracted physician(s) of 
the hospice, in conjunction with the patient’s attending physician, are responsible 
for the palliation and management of the terminal illness and conditions related to 
the terminal illness. 
 
(1)  All physician employees and those under contract, must function under Interpretive Guidelines §418.64(a) 
The medical director may also serve as the physician member of the IDG. 

(2)  All physician employees and those under contract shall meet this 
requirement by either providing the services directly or through 
coordinating patient care with the attending physician.   
 
If the attending physician is unavailable, the medical director, 
contracted physician, and/or hospice physician employee is responsible 
for meeting the medical needs of the patient.  

(3) Is there evidence that the medical needs of the patients are being met by the hospice 
physician for patients who do not have an attending physician or when the attending 
physician is unresponsive or unavailable? (590)",PHYSICIAN SERVICES
591,"Deficiency cited: Nursing services
 
The hospice must provide nursing care and services by or under the supervision 
of a registered nurse.  Nursing services must ensure that the nursing needs of the 
patient are met as identified in the patient’s initial assessment, comprehensive 
assessment, and updated assessments. (591)
",NURSING SERVICES
592,"Deficiency cited: Nursing services
If State law permits registered nurses to see, treat, and write orders 
for patients, then registered nurses may provide services to beneficiaries receiving 
hospice care.  (592)
",NURSING SERVICES
593,"Deficiency cited: Nursing services
Highly specialized nursing services that are provided so 
infrequently that the provision of such services by direct hospice employees would 
be impracticable and prohibitively expensive, may be provided under contract. (593)",NURSING SERVICES
594,"Deficiency cited: Medical social services 
  
Medical social services must be provided by a qualified social worker, under the 
direction of a physician.  Social work services must be based on the patient’s 
psychosocial assessment and the patient’s and family’s needs and acceptance of 
these services. (594)",MEDICAL SOCIAL SERVICES
595,"Deficiency cited: Counseling services 
 
Counseling services must be available to the patient and family to assist the patient 
and family in minimizing the stress and problems that arise from the terminal 
illness, related conditions, and the dying process.  (595)
",COUNSELING SERVICES
596,"Deficiency cited: Counseling services 
 
Counseling services must include, but are not limited to, the following: 
 

(1) - Bereavement counseling.  The hospice must: 
 
(i)  Have an organized program for the provision of bereavement services 
furnished under the supervision of a qualified professional with 
experience or education in grief or loss counseling.  

(ii)  Make bereavement services available to the family and other individuals 
in the bereavement plan of care up to 1 year following the death of the 
patient. Bereavement counseling also extends to residents of a SNF/NF or 
ICF/MR when appropriate and identified in the bereavement plan of 
care.  

(iii)  Ensure that bereavement services reflect the needs of the bereaved. 

(iv)  Develop a bereavement plan of care that notes the kind of bereavement 
services to be offered and the frequency of service delivery.  A special 
coverage provision for bereavement counseling is specified in §418.204(c). (596)",COUNSELING SERVICES
597,"Deficiency cited: Dietary counseling. 
Dietary counseling, when identified in the plan 
of care, must be performed by a qualified individual, which include dietitians as 
well as nurses and other individuals who are able to address and assure that the 
dietary needs of the patient are met. (597)
",COUNSELING SERVICES
